relative_path,dataset,split,label,size_bytes,sha256
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00046_image171816063911475350035467296003818227479_mass34_is_benign_0.png,cbis-ddsm,train,malignant,7851,219a6f6640298ffc3c9cf11c5ab6bf4f43b8d62781abacc240fadf45addda07e
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00051_image126303723213704792631423033741356404692_mass36_is_benign_0.png,cbis-ddsm,train,malignant,7955,4fe923923f3dc76614b234de7e10a36ef6d7d7570f232444663362f271201fcf
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00051_image24049862710563375227171012253250062296_mass35_is_benign_0.png,cbis-ddsm,train,malignant,7556,91683b0bd4fa08e96b7fbb70f1e498af3f84ae8492c66a065ccac8e8df47b085
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00057_image224382551013539826002081665883063274367_mass39_is_benign_0.png,cbis-ddsm,train,malignant,7332,70925723b9ea7ff3c3f78fafeba01e0c62f8e06e7bfc9ee8e92b8769983cb888
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00057_image312778704210164438821730925283101542220_mass40_is_benign_0.png,cbis-ddsm,train,malignant,7048,0fa6f19c0279fa6192ad770a61f71ba7fa2d6e3c287f01166900cb7e2878ecc4
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00058_image423589932611394098813047451172529019148_mass41_is_benign_0.png,cbis-ddsm,train,malignant,7833,c68a421bbd94baf3ac8be07680e321c8b9a8f95421c5319ef703656b309996f8
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00059_image43941248811932060425959307772414033323_mass43_is_benign_0.png,cbis-ddsm,train,malignant,6702,e53da3b9c77defd6ab24b8d6f0208d4e16ccfa9dea73aea6de24e433433f02d2
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00059_image62520602613602980418030688082379323379_mass42_is_benign_0.png,cbis-ddsm,train,malignant,6475,ca77ba61ecebd4ef3da9d86f4a2361691c1f8d981217651f2cc87322b23a8559
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00068_image124763553711502840222713752821937905604_mass50_is_benign_0.png,cbis-ddsm,train,malignant,7527,cc2ff34871e247dbc158c0daece89e19b164bb7fdf095ca10ad194547dece690
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00068_image428163832610892161130597449180121416361_mass49_is_benign_0.png,cbis-ddsm,train,malignant,7105,d26d0e01af75a66bc973546c244f1c76d460209a26ae16f0ae12f0793b2b85fe
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00079_image106920945012310500814153560730340285091_mass57_is_benign_0.png,cbis-ddsm,train,malignant,8109,e0f67d6cdb1b7ce47536a77b25cb0f2b4b3fa3917a3ae3817132b3fb711645ec
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00079_image52906053712866447802133269923371757737_mass56_is_benign_0.png,cbis-ddsm,train,malignant,7622,73acbc266b36582f1b4aece02c69fb567c06e2b429e29629f832428353564fdb
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00080_image290229220113810647235081932003928413427_mass59_is_benign_0.png,cbis-ddsm,train,malignant,7957,0e0acf9d681df943220bcf8b670c6353dad02ff9dfb40b5c6f04bd60b6833558
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00080_image424882811712752156925272152341077230426_mass58_is_benign_0.png,cbis-ddsm,train,malignant,7283,f9fa3fc65d7c8684341bb81dd29e3547202ff9cac6c1b343ee3cbda3b2e03af0
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00086_image149183380211624614428278537532778083640_mass63_is_benign_0.png,cbis-ddsm,train,malignant,7451,44521167990379e0261a92ffc4868a996febd5ffc5dd832d910b3525b996016a
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00086_image156622924410420181519254667710041906178_mass62_is_benign_0.png,cbis-ddsm,train,malignant,7261,3159c45a22a32333010b23d60acd11f0679967368598eaf4c804e1b2e9d2ae98
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00092_image204932936112007111301870388513884327444_mass70_is_benign_0.png,cbis-ddsm,train,malignant,7168,a485d0e4c853701ea0a0b5320ae45908c1c557f11be7d5177132f7b5d6c33b13
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00092_image204932936112007111301870388513884327444_mass71_is_benign_0.png,cbis-ddsm,train,malignant,7219,080fff13047fc902890212d8e80693c3d377097745a02ffd4f42934d8be4589e
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00092_image293629768213098982240090876542239338862_mass69_is_benign_0.png,cbis-ddsm,train,malignant,6990,e2904298a3b0a3f0262903ad8577b201d78b418a1197a7bc2c96d3a1e01b0918
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00092_image330825165611895385300304977110070004321_mass67_is_benign_0.png,cbis-ddsm,train,malignant,7389,b3f07b8a4c945a2d2a0475859f7ced3ec041d6df9b934b9d3763e4b0fb399552
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00092_image330825165611895385300304977110070004321_mass68_is_benign_0.png,cbis-ddsm,train,malignant,7628,20d68f5e409e84637a8a74f38befad3eb5a670644a104ff29a6b2dbab5cb1e59
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00092_image395119796911717183208718117572298386861_mass66_is_benign_0.png,cbis-ddsm,train,malignant,7420,b43057fe01080b47154fd74d62893757667b500ed8fb610fc3c3d629f32f820e
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00095_image397977891813455499623578940723346023154_mass74_is_benign_0.png,cbis-ddsm,train,malignant,7031,4fa96a2bbb3136b738747867d89086c316d81acab452c54f4191a782b3ece240
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00095_image75074886911317428336210351841116845645_mass75_is_benign_0.png,cbis-ddsm,train,malignant,6416,3f2c74401552619d863ace43b6b9e556ddaf50eb607e8185e95b134e4821a019
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00110_image280825898411750356829843839152975856247_mass97_is_benign_0.png,cbis-ddsm,train,malignant,8381,893b6c501f79fc57705957a9f6d804c21605f23fc22368369df400cea1d5c892
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00110_image291790757212675342611858069914078236037_mass96_is_benign_0.png,cbis-ddsm,train,malignant,7530,25230b1c0279e1a77149f911a3ee4397f5609aaf7a57342b9ccceb5a47479753
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00110_image318795357011333161907603475760244333735_mass98_is_benign_0.png,cbis-ddsm,train,malignant,7275,78f330718621eee22982617edd03e31172f0516d5704dbaee53c93a2ae6721f2
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00128_image277118485712837089912775450911866183239_mass105_is_benign_0.png,cbis-ddsm,train,malignant,7740,8102a560a12bd1c183d6c71299db4c43f813c470ed51208cdf04a53ca17533af
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00133_image235945521811290740616561100123700737471_mass107_is_benign_0.png,cbis-ddsm,train,malignant,7291,74c4ff55e62f9569210988d6ff7d51d8e43b7309ffa49837d697c66d923965e4
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00133_image265137984313406655725419002090356526005_mass106_is_benign_0.png,cbis-ddsm,train,malignant,7232,1cdd39cd02ae762e18a0661b1397fe7a7a89607abfb70122dfba3addd6fd9449
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00134_image289743929613127103521749541211475878547_mass109_is_benign_0.png,cbis-ddsm,train,malignant,6637,9f682e48a869dbb59c341c9edd26c516b00282a8a226f7852d810cab3f9d22e6
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00134_image295397487412067903910787953980192002590_mass108_is_benign_0.png,cbis-ddsm,train,malignant,6438,669e1527a7684a04f5b425601d3ca35f5ef9acfe4b023683f6a740bc30eb4324
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00146_image138854373111438727811729486684128233341_mass113_is_benign_0.png,cbis-ddsm,train,malignant,6446,721980977014b914834336f8b57ab8dd5a81ab91d38dceb9234e4e91d1644487
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00146_image221813109312502505440274540962266107790_mass112_is_benign_0.png,cbis-ddsm,train,malignant,6751,c89f97412a30a6b93b7e4f92237f1e5047c4dabf9161c62406ee77952461cb3d
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00149_image63200910512557522821086711330263634348_mass116_is_benign_0.png,cbis-ddsm,train,malignant,6523,fd549b87e9e11a9f8944d00872720f9d181df503c65c567048ba2e2f7a18fe5e
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00149_image78109951511092761713429881620095372440_mass117_is_benign_0.png,cbis-ddsm,train,malignant,7210,5c6c20094afec585d9c8587b02d8afaffb6135413977464d02494aac53650fe8
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00160_image192830829713156688526768249872322016275_mass118_is_benign_0.png,cbis-ddsm,train,malignant,7770,bfb0c67602b62a65ec5cef74927492aaaaf3f92e6baf7e1a08e0d2748b80aec3
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00160_image305474508013164328209392882041994773722_mass119_is_benign_0.png,cbis-ddsm,train,malignant,7567,f612908574facee31194860e45d79bb5e317945a08929d0fbdcc98f2f87db5ff
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00172_image36835724411324568535216797843641270234_mass125_is_benign_0.png,cbis-ddsm,train,malignant,8180,5af2ed49386b909765eb72abc606adfcc7410a0a705278060b68126e1379519b
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00172_image387619206511012578240443721540293303242_mass126_is_benign_0.png,cbis-ddsm,train,malignant,8014,a56f300995129fe117116b65e171860ecc49aa8c58e01b506efdfb02b7831af5
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00174_image343844464011434743603346651344062225716_mass127_is_benign_0.png,cbis-ddsm,train,malignant,6626,d7ae907a910c51fc1931a683c0b63c5638ca9add9c3ec2f7cb08eb1202be273e
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00174_image44065475811569696824006401280610368950_mass128_is_benign_0.png,cbis-ddsm,train,malignant,7358,9d492545c082601ca68d433d70eced1f42f7b35681f4f6f437ea929c5ca8d4a8
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00175_image252111322010927493022197164842528938327_mass130_is_benign_0.png,cbis-ddsm,train,malignant,7256,630f33aaaab4613503fc887ae99d969cd27261e1fe289650ef1b5e95476b2ba2
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00175_image93103775912979378931517559581790090126_mass129_is_benign_0.png,cbis-ddsm,train,malignant,6817,955f8188cc75c66856e33e44b0360ce7d729ca899a9b3dece46af17085c92380
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00190_image44010144711160704136767640560687663719_mass133_is_benign_0.png,cbis-ddsm,train,malignant,7643,80188ef962966d72995fae4049471350a47510acb6a1b446156166c109e79b50
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00207_image220564602411627135838034738500414889195_mass142_is_benign_0.png,cbis-ddsm,train,malignant,7411,f5b8d45572e4081f94a2438788e298ff9b655962ea573e98251482372655cde9
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00207_image220564602411627135838034738500414889195_mass143_is_benign_0.png,cbis-ddsm,train,malignant,7508,b132803e7a544b9361e05f31bcdd724f1d92056eaf44fd017e88486e309efcf0
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00207_image220564602411627135838034738500414889195_mass144_is_benign_0.png,cbis-ddsm,train,malignant,7505,15cc477782482cc37ca39bc51c5ee7844f5904deeec356f6746b17df85e45e75
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00207_image252718871411822036139213438773416034416_mass139_is_benign_0.png,cbis-ddsm,train,malignant,7371,0d425afaddc63faf74dc8a30aa039b958fff7523c420adf9d0f490aa77351c3a
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00207_image252718871411822036139213438773416034416_mass140_is_benign_0.png,cbis-ddsm,train,malignant,7588,e224bdf6282474507b67020788868a6fef87b9fe0b7d9442ddb128bc3542c7e0
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00207_image252718871411822036139213438773416034416_mass141_is_benign_0.png,cbis-ddsm,train,malignant,7392,d9ff003f8b3706e0efb26103cde3a01ac89579624a6e06f2e8baa11bda8d675b
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00217_image140355223312210284529426886852269070526_mass147_is_benign_0.png,cbis-ddsm,train,malignant,7549,c598c3934b65b394c4a997eefd015863cbd3539bf17f7f804fea1cc77eeb303e
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00218_image33507760912554145902744111920344485171_mass148_is_benign_0.png,cbis-ddsm,train,malignant,7005,c5dd28ada76f21bc1b0491a9c55ee580316249bd23d0bc38fd01c45ab864b038
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00218_image429052236311017048205300842573530320220_mass149_is_benign_0.png,cbis-ddsm,train,malignant,7307,0891a2dbba0b36c25d2c9c088c98e348848d33c8b90a30f4a1317c04477cdc93
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00226_image179710869911343838925930594650196320920_mass159_is_benign_0.png,cbis-ddsm,train,malignant,6056,414aba4020cc0b7c2bf8b2c3aadf6c0e07fa3a0cfeedfb947cd975574066d047
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00226_image49781736812625749004670107140133025153_mass158_is_benign_0.png,cbis-ddsm,train,malignant,6477,61aaa103b8a4b61bbb2e43133dcc00e69d96eae95e5da8759549ceab47840b54
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00235_image159994867112545025233656546933641550125_mass166_is_benign_0.png,cbis-ddsm,train,malignant,7123,d8887dc68416c1060661405e298e3d053b00386833459f0cea1e233e5ec70f93
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00235_image377149226011692185542762303162055367340_mass165_is_benign_0.png,cbis-ddsm,train,malignant,6982,322c17411b5b8a8034503a08ad276e3ca6ec319302357a300464bf5bf8138d7c
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00236_image171017963210748865720322070120422084932_mass167_is_benign_0.png,cbis-ddsm,train,malignant,7244,2f4b0e73f71c05f4b487c4bc18942faf7edd1db7ae36b4c81e5870096f9f9e60
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00240_image30946803412446097718909326270548961243_mass170_is_benign_0.png,cbis-ddsm,train,malignant,7128,26a39d5bd45c5d00eabbdada315adbb95aa411b92128c1c9de188bf36d8409a0
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00240_image412557731711484790541710247932923951861_mass171_is_benign_0.png,cbis-ddsm,train,malignant,7178,9cf4944623ce62786eb658582cf0b26158930b8d1303b3be7c1858c44782812f
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00241_image142885277611638033110611880230769163368_mass173_is_benign_0.png,cbis-ddsm,train,malignant,7371,ce7d2cc9afc1df41095bbbd8a67b870d9b51aa680462a0e4ce874b1b5bbd4492
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00241_image256330807412877366440153727190246662818_mass172_is_benign_0.png,cbis-ddsm,train,malignant,7292,04854313f50825e681ebc2a4b06e7c76896e631fa41f302127792222bd0714e3
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00248_image318026917311670026440249335270791185579_mass178_is_benign_0.png,cbis-ddsm,train,malignant,6796,70e17bb82477c8d1cb3a5329cd2057cf1fb42f21bd8f7d08686ea3df33c9512c
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00254_image200753917713679520535019007044031244915_mass180_is_benign_0.png,cbis-ddsm,train,malignant,6874,9baee47cd7cea1c60ed1f0a7d51b03e8f56dd037571cd9e00a275c17c30db1a1
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00254_image322581976313493693000967310302793899097_mass179_is_benign_0.png,cbis-ddsm,train,malignant,6847,a706e9cd9374f075d1f1d68b9ed9c7d2f0630ba31c47d190a6e44cc564591380
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00259_image122981719610620049441742166123385329893_mass182_is_benign_0.png,cbis-ddsm,train,malignant,6874,350214c3b5ff274ed4aa86ccd242ae3624b2b314b07bd31b5f5012596df66f10
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00259_image98671316311727287728593409473002771971_mass181_is_benign_0.png,cbis-ddsm,train,malignant,6872,ca0b78a49396a8cd296b235a8aa9a4f6e957ea9f86af465be8e6d568a028a41f
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00265_image230847457811985905132857803630553450916_mass185_is_benign_0.png,cbis-ddsm,train,malignant,7439,73a87ceb105673f1f78b9acd9012433685a4471865916955a20a538fb46f8258
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00265_image72031052711411811221749052683014455686_mass186_is_benign_0.png,cbis-ddsm,train,malignant,7360,2c1fd14125835ba08c0cba411912fcf759fd04764a098fdc50d69e9670df517a
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00287_image285317105313152046222309992052850234643_mass193_is_benign_0.png,cbis-ddsm,train,malignant,6921,ed32ea7b78ae23753e8cfecd2ffde670f90bb754e5c8dda75e0c43548e0a0575
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00287_image365371676412588907115235634354043674317_mass192_is_benign_0.png,cbis-ddsm,train,malignant,6920,2323587590268b774580e3012bf5caf279c67102c37985ebc9801fa68bd6f62c
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00314_image162585879813814097935228732511788537826_mass212_is_benign_0.png,cbis-ddsm,train,malignant,6838,08a81aa04db394d0ec4050e0c1c63c41b61f9ac37e0c2940f374ea456035bc08
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00314_image198806094011873394005769283843984674114_mass211_is_benign_0.png,cbis-ddsm,train,malignant,6476,84f3d3d493a2dbc916b7f55df37072c4f9de78681273285eb1426dd0cc8ea448
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00317_image310220346011079442513712769740954804111_mass213_is_benign_0.png,cbis-ddsm,train,malignant,6671,306aa5ba1bcab8dfaef4e9c34644ca2c0c6090cb984a09fd609df1f2c42e1058
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00319_image28046978313456547334947447404264538941_mass215_is_benign_0.png,cbis-ddsm,train,malignant,7940,3fcd7056013cbbcebdf623aaf3e8a2238ac6ad478e0fa34d2c23052c7adaad4d
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00319_image385048669110065366518659298952946874460_mass214_is_benign_0.png,cbis-ddsm,train,malignant,7545,c814a3e9bdab1947046b6ca08a52e3dbd8d42599f8a5ab19f9cb21a8c03a551b
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00328_image228092873212870547017384383211202398357_mass219_is_benign_0.png,cbis-ddsm,train,malignant,7317,1f43ee98e66036f2be30972ef5231164ad7a400ff8e8ac982104861b6cf4cbe2
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00328_image228092873212870547017384383211202398357_mass220_is_benign_0.png,cbis-ddsm,train,malignant,7096,08729d901d3fc4bf8e65a13b75d13926eea6352bad5e9be606fa5e7bf5e9ae23
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00328_image5375905712574640734093978892038034997_mass221_is_benign_0.png,cbis-ddsm,train,malignant,5621,0d68d954626896d811c29714515baf9952a49596ad23cbccc1aba95e029fa591
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00328_image5375905712574640734093978892038034997_mass222_is_benign_0.png,cbis-ddsm,train,malignant,7152,222729650a27324a8a77223511c27b7758192d04d3516c34068d5d920fc8d16c
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00335_image144135582511225260304642832923710501704_mass232_is_benign_0.png,cbis-ddsm,train,malignant,7138,3c440e263f1a010784a6789c11fa311d1acfdd46ad2c81b80344044ccc24b7bb
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00354_image168263165711078144037408664653348842349_mass241_is_benign_0.png,cbis-ddsm,train,malignant,6853,063358264e4fd487edb61ed46a0582af6466ce4304aa9b92ba3c260dde3e1538
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00354_image424375028213529712235170387420953707530_mass242_is_benign_0.png,cbis-ddsm,train,malignant,6652,10da652909d38e72ab8c38e1c5b7554519955d0b2702902a47e222d1e6f0a393
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00361_image250541129012697000139067193781811131927_mass244_is_benign_0.png,cbis-ddsm,train,malignant,6757,228d3e853c4094b6e8bb90e975f1665f579b99b5ebc0fd4656e64c79bde22905
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00363_image127414375612335850402983190211128956561_mass246_is_benign_0.png,cbis-ddsm,train,malignant,8483,7782a3d3c8d1223d607df0e037e5f6336b13ec8371de378ba498e4f84ffa9238
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00363_image179458899812520629223660238622755428813_mass245_is_benign_0.png,cbis-ddsm,train,malignant,8018,043684f49431ebe10a7b127e8b2fb3af038ca834d5cdc86a1e5bc7258afca17c
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00370_image26785943013851897504417315121757689195_mass249_is_benign_0.png,cbis-ddsm,train,malignant,7148,8e76ae1e219e420079c63438f8402475f0bfa336cd570509bb1aa73f5027f52a
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00370_image370999277211359885401017875750544572719_mass250_is_benign_0.png,cbis-ddsm,train,malignant,6593,d4dc9e3e99110f63cb8f9afbcf9e29f01f35bb0d788d26e437929ddc11286882
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00383_image55968524711909111320750324813970130575_mass256_is_benign_0.png,cbis-ddsm,train,malignant,7388,798590f556897f7a9899d2f9295f13f84827dc9db67c80c54a8c676e4c053830
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00386_image357895865312935232740791412752491722139_mass261_is_benign_0.png,cbis-ddsm,train,malignant,6854,89cd6784a1a129fbe9fc722f99adadfb59835b618ef83d9b9ea107609a456251
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00386_image51790071813914520302781173050912065274_mass262_is_benign_0.png,cbis-ddsm,train,malignant,6713,86a5c06c4d6921234976373021c41dfdf6ccd17ae53fc2d31308c972e310bdae
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00396_image138846257411488774441129237782868069097_mass265_is_benign_0.png,cbis-ddsm,train,malignant,7033,b004635f81767182e4a2c3752d506799fea80fffba5b41e83c6ccc0ea2db8828
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00396_image99384845412796395014256477491120965729_mass264_is_benign_0.png,cbis-ddsm,train,malignant,6623,aa83988d3f0a0bcefa990fadca16d16a08598475384d90685b9f52a6dd316f74
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00399_image239548739510237429113050679573385847658_mass267_is_benign_0.png,cbis-ddsm,train,malignant,7504,7ff00dd3286b46916028d420a1b04ebd5868bad500f3fa0a1250200317aa9186
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00399_image84122280212649020533362604933513296684_mass266_is_benign_0.png,cbis-ddsm,train,malignant,7420,bff2876fc3e8452f68e7556824aa43a86ec82853342169f0b9af436a4a336be6
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00406_image103494873713070714519724174710474902216_mass271_is_benign_0.png,cbis-ddsm,train,malignant,7633,fb6328659978857b36d0899fbb29c15445382ba0346f5009073900ec1809a25a
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00406_image426578226012353341625938149703656638104_mass270_is_benign_0.png,cbis-ddsm,train,malignant,7413,266772e5d7b8ea61761ee9ff8d177613f29152634bc7622167f7ad14836fb1d9
